Name,Python,Maths,AIML,Study_Hours,Average,Performance
Kiran,78,82,80,4.0,80.0,Good
Pooja,91,89,94,6.0,91.33333333333333,Excellent
Vijay,68,72,70,3.0,70.0,Average
Lakshmi,85,88,87,5.0,86.66666666666667,Good
Ramesh,74,76,79,4.0,76.33333333333333,Good
Swathi,93,95,91,7.0,93.0,Excellent
Naveen,81,84,4,,56.333333333333336,Poor
Harsha,59,64,61,2.0,61.333333333333336,Average
Anjali,87,90,88,6.0,88.33333333333333,Good
Manoj,72,75,3,,50.0,Poor
Keerthi,96,92,97,8.0,95.0,Excellent
Tarun,66,71,69,3.0,68.66666666666667,Average
Sowmya,89,86,90,5.0,88.33333333333333,Good
Prakash,79,83,78,4.0,80.0,Good
Bhavya,94,91,96,7.0,93.66666666666667,Excellent
Sai,63,67,65,2.0,65.0,Average
Deepika,86,84,89,5.0,86.33333333333333,Good
Chaitanya,75,80,4,,53.0,Poor
Akhil,90,87,92,6.0,89.66666666666667,Good
Mounika,83,85,81,5.0,83.0,Good
